"Date","Analyst Name","Firm Name","Adjusted Price Target","Adjusted Previous Price Target","Rating Change","Current Rating","Previous Rating"
"2024-03-26","Kristine Liwag","Morgan Stanley","235","235","Maintains","Equal-Weight","Equal-Weight"
"2024-03-25","Noah Poponak","Goldman Sachs","257","268","Maintains","Buy","Buy"
"2024-03-25","Bert Subin","Stifel","270","270","Maintains","Buy","Buy"
"2024-03-25","Kristine Liwag","Morgan Stanley","235","235","Maintains","Equal-Weight","Equal-Weight"
"2024-03-25","Seth Seifman","JP Morgan","230","270","Maintains","Overweight","Overweight"
"2024-03-25","Cai Rumohr","TD Cowen","230","275","Maintains","Outperform","Outperform"
"2024-03-21","Ronald Epstein","B of A Securities","210","225","Maintains","Neutral","Neutral"
"2024-03-21","Gavin Parsons","UBS","250","275","Maintains","Buy","Buy"
"2024-03-21","Charles Minervino","Susquehanna","230","265","Maintains","Positive","Positive"
"2024-03-13","Myles Walton","Wolfe Research","260","270","Maintains","Outperform","Outperform"
"2024-03-12","Bert Subin","Stifel","270","280","Maintains","Buy","Buy"
"2024-02-23","Chris Olin","Northcoast Research","","","Downgrades","Neutral","Buy"
"2024-02-14","Sheila Kahyaoglu","Jefferies","220","210","Maintains","Buy","Buy"
"2024-02-01","Ken Herbert","RBC Capital","260","285","Maintains","Outperform","Outperform"
"2024-02-01","Matthew Akers","Wells Fargo","215","225","Maintains","Equal-Weight","Equal-Weight"
"2024-01-25","Ronald Epstein","B of A Securities","225","255","Downgrades","Neutral","Buy"
"2024-01-18","Charles Minervino","Susquehanna","279","306","Maintains","Positive","Positive"
"2024-01-16","Matthew Akers","Wells Fargo","225","280","Downgrades","Equal-Weight","Overweight"
"2023-12-15","Gavin Parsons","UBS","315","275","Maintains","Buy","Buy"
"2023-12-12","Louie DiPalma","William Blair","","","Initiates Coverage On","Outperform",""
"2023-12-06","David Strauss","Barclays","235","210","Maintains","Equal-Weight","Equal-Weight"
"2023-12-01","Bert Subin","Stifel","265","","Initiates Coverage On","Buy",""
"2023-11-28","Ken Herbert","RBC Capital","275","200","Upgrades","Outperform","Sector Perform"
"2023-11-20","Scott Deuschle","Deutsche Bank","270","","Upgrades","Buy","Hold"
"2023-11-01","Noah Poponak","Goldman Sachs","","","Maintains","Buy","Buy"
"2023-10-31","Chris Olin","Northcoast Research","217","","Upgrades","Buy","Neutral"
"2023-10-26","Ken Herbert","RBC Capital","200","210","Maintains","Sector Perform","Sector Perform"
"2023-10-26","Jason Gursky","Citigroup","271","285","Maintains","Buy","Buy"
"2023-10-26","Kristine Liwag","Morgan Stanley","220","235","Maintains","Equal-Weight","Equal-Weight"
"2023-10-11","Gavin Parsons","UBS","275","","Initiates Coverage On","Buy",""
"2023-10-03","Matthew Akers","Wells Fargo","230","270","Maintains","Overweight","Overweight"
"2023-09-28","Scott Deuschle","Deutsche Bank","204","","Initiates Coverage On","Hold",""
"2023-09-18","Charles Minervino","Susquehanna","270","270","Reiterates","Positive","Positive"
"2023-09-18","Jason Gursky","Citigroup","285","285","Maintains","Buy","Buy"
"2023-09-13","Charles Minervino","Susquehanna","270","270","Reiterates","Positive","Positive"
"2023-08-28","Cai Rumohr","TD Cowen","260","255","Maintains","Outperform","Outperform"
"2023-08-01","Chris Olin","Northcoast Research","","","Upgrades","Neutral","Sell"
"2023-07-31","Sheila Kahyaoglu","Jefferies","275","250","Maintains","Buy","Buy"
"2023-07-28","Jason Gursky","Citigroup","285","248","Maintains","Buy","Buy"
"2023-07-27","Ken Herbert","RBC Capital","225","225","Reiterates","Sector Perform","Sector Perform"
"2023-07-27","Kristine Liwag","Morgan Stanley","235","220","Maintains","Equal-Weight","Equal-Weight"
"2023-07-27","Seth Seifman","JP Morgan","245","225","Maintains","Overweight","Overweight"
"2023-07-27","Matthew Akers","Wells Fargo","250","237","Maintains","Overweight","Overweight"
"2023-07-27","Ronald Epstein","B of A Securities","300","225","Upgrades","Buy","Neutral"
"2023-07-12","Kristine Liwag","Morgan Stanley","220","220","Reiterates","Equal-Weight","Equal-Weight"
"2023-06-21","Ken Herbert","RBC Capital","220","220","Reiterates","Sector Perform","Sector Perform"
"2023-06-06","Douglas Harned","Bernstein","252","","Reiterates","Outperform",""
"2023-04-27","Ken Herbert","RBC Capital","220","225","Maintains","Sector Perform",""
"2023-04-27","Sarah Akers","Wells Fargo","237","230","Maintains","Overweight",""
"2023-04-27","Scott Deuschle","Credit Suisse","220","","Reiterates","Neutral",""
"2023-04-13","Catherine O'Brien","Goldman Sachs","270","261","Maintains","Buy",""
"2023-04-10","Scott Deuschle","Credit Suisse","220","200","Maintains","Neutral",""
"2023-04-04","Chris Olin","Northcoast Research","180","","Downgrades","Sell","Neutral"
"2023-03-22","Matthew Akers","Wells Fargo","230","240","Maintains","Overweight",""
"2023-02-03","Ken Herbert","RBC Capital","225","","Downgrades","Sector Perform","Outperform"
"2023-01-30","Sheila Kahyaoglu","Jefferies","250","240","Maintains","Buy",""
"2023-01-27","Jason Gursky","Citigroup","248","222","Maintains","Buy",""
"2023-01-26","Seth Seifman","JP Morgan","225","207","Maintains","Overweight",""
"2023-01-12","Scott Deuschle","Credit Suisse","200","","Upgrades","Neutral","Underperform"
"2023-01-11","Matthew Akers","Wells Fargo","240","218","Maintains","Overweight",""
"2023-01-11","Seth Seifman","JP Morgan","207","200","Maintains","Overweight",""
"2023-01-10","Kristine Liwag","Morgan Stanley","220","213","Downgrades","Equal-Weight","Overweight"
"2022-12-14","Charles Minervino","Susquehanna","217","185","Maintains","Positive",""
"2022-12-12","Seth Seifman","JP Morgan","200","170","Maintains","Overweight",""
"2022-12-08","Matthew Akers","Wells Fargo","218","185","Maintains","Overweight",""
"2022-12-07","Ronald Epstein","B of A Securities","190","165","Maintains","Neutral",""
"2022-11-07","Olivier Brochet","Redburn Partners","","","Initiates Coverage On","Neutral",""
"2022-11-03","Scott Deuschle","Credit Suisse","121","98","Maintains","Underperform",""
"2022-10-27","Matthew Akers","Wells Fargo","185","210","Maintains","Overweight",""
"2022-10-27","Kristine Liwag","Morgan Stanley","213","233","Maintains","Overweight",""
"2022-10-27","Charles Minervino","Susquehanna","180","192","Maintains","Positive",""
"2022-10-12","Scott Deuschle","Credit Suisse","98","","Initiates Coverage On","Underperform",""
"2022-10-11","Myles Walton","Wolfe Research","180","","Initiates Coverage On","Outperform",""
"2022-09-08","Kristine Liwag","Morgan Stanley","233","215","Maintains","Overweight",""
"2022-09-07","Ronald Epstein","B of A Securities","175","170","Maintains","Neutral",""
"2022-07-28","Matthew Akers","Wells Fargo","210","214","Maintains","Overweight",""
"2022-07-15","Josh Sullivan","Benchmark","200","250","Maintains","Buy",""
"2022-07-14","Ken Herbert","RBC Capital","200","220","Maintains","Outperform",""
"2022-07-13","Seth Seifman","JP Morgan","188","190","Maintains","Overweight",""
"2022-06-16","Pablo Zuanic","Citigroup","209","219","Upgrades","Buy","Neutral"
"2022-05-20","Charles Minervino","Susquehanna","192","193","Maintains","Positive",""
"2022-05-17","Ronald Epstein","B of A Securities","150","180","Maintains","Neutral",""
"2022-04-28","Ken Herbert","RBC Capital","220","265","Maintains","Outperform",""
"2022-04-28","Seth Seifman","JP Morgan","190","235","Maintains","Overweight",""
"2022-04-28","Charles Minervino","Susquehanna","193","243","Maintains","Positive",""
"2022-04-28","Matthew Akers","Wells Fargo","214","250","Maintains","Overweight",""
"2022-04-22","Josh Sullivan","Benchmark","250","270","Maintains","Buy",""
"2022-04-08","Kristine Liwag","Morgan Stanley","230","288","Maintains","Overweight",""
"2022-03-07","Cai Rumohr","Cowen & Co.","230","265","Maintains","Outperform",""
"2022-01-31","Sheila Kahyaoglu","Jefferies","270","300","Maintains","Buy",""
"2022-01-27","Kristine Liwag","Morgan Stanley","288","274","Maintains","Overweight",""
"2022-01-27","Matthew Akers","Wells Fargo","250","272","Maintains","Overweight",""
"2021-12-20","Ronald Epstein","B of A Securities","220","245","Maintains","Neutral",""
"2021-12-15","Seth Seifman","JP Morgan","270","275","Maintains","Overweight",""
"2021-11-18","Seth Seifman","JP Morgan","275","260","Upgrades","Overweight","Neutral"
"2021-11-17","Matthew Akers","Wells Fargo","272","224","Upgrades","Overweight","Equal-Weight"
"2021-10-28","Matthew Akers","Wells Fargo","224","238","Maintains","Equal-Weight",""
"2021-10-22","Ken Herbert","RBC Capital","275","","Initiates Coverage On","Outperform",""
"2021-10-20","Douglas Harned","Bernstein","269","279","Maintains","Outperform",""
"2021-09-29","Douglas Harned","Bernstein","279","252","Upgrades","Outperform","Market Perform"
"2021-09-07","Myles Walton","UBS","290","310","Maintains","Buy",""
"2021-07-30","Matthew Akers","Wells Fargo","254","244","Maintains","Equal-Weight",""
"2021-07-13","Hunter Keay","Wolfe Research","","","Upgrades","Peer Perform","Underperform"
