"Date","Analyst Name","Firm Name","Adjusted Price Target","Adjusted Previous Price Target","Rating Change","Current Rating","Previous Rating"
"2023-02-07","Scott Deuschle","Credit Suisse","510","427","Upgrades","Outperform","Underperform"
"2023-01-30","Robert Czerwensky","DZ Bank","523","","Upgrades","Buy","Hold"
"2023-01-25","Charles Minervino","Susquehanna","512","510","Maintains","Positive",""
"2023-01-25","Kristine Liwag","Morgan Stanley","532","542","Maintains","Equal-Weight",""
"2023-01-25","Matthew Akers","Wells Fargo","422","417","Maintains","Underweight",""
"2023-01-25","Scott Deuschle","Credit Suisse","408","384","Maintains","Underperform",""
"2023-01-13","Noah Poponak","Goldman Sachs","332","388","Downgrades","Sell","Neutral"
"2022-12-15","Kristine Liwag","Morgan Stanley","542","506","Downgrades","Equal-Weight","Overweight"
"2022-12-12","Seth Seifman","JP Morgan","505","450","Maintains","Neutral",""
"2022-10-19","Matthew Akers","Wells Fargo","417","415","Maintains","Underweight",""
"2022-10-19","Kristine Liwag","Morgan Stanley","506","522","Maintains","Overweight",""
"2022-10-19","Ken Herbert","RBC Capital","445","420","Maintains","Sector Perform",""
"2022-10-19","Charles Minervino","Susquehanna","510","539","Maintains","Positive",""
"2022-10-19","Scott Deuschle","Credit Suisse","384","375","Maintains","Underperform",""
"2022-10-19","Peter Arment","Baird","513","","Upgrades","Outperform","Neutral"
"2022-10-12","Scott Deuschle","Credit Suisse","375","","Initiates Coverage On","Underperform",""
"2022-10-11","Myles Walton","Wolfe Research","","","Initiates Coverage On","Peer Perform",""
"2022-10-06","Sheila Kahyaoglu","Jefferies","450","470","Maintains","Hold",""
"2022-09-28","Matthew Akers","Wells Fargo","415","406","Downgrades","Underweight","Equal-Weight"
"2022-08-30","Ben Herbert","RBC Capital","460","","Initiates Coverage On","Sector Perform",""
"2022-07-20","Matthew Akers","Wells Fargo","406","496","Maintains","Equal-Weight",""
"2022-07-20","Kristine Liwag","Morgan Stanley","522","525","Maintains","Overweight",""
"2022-07-12","Kristine Liwag","Morgan Stanley","525","521","Maintains","Overweight",""
"2022-04-20","Matthew Akers","Wells Fargo","496","486","Maintains","Equal-Weight",""
"2022-03-07","Matthew Akers","Wells Fargo","486","400","Maintains","Equal-Weight",""
"2022-03-02","Kristine Liwag","Morgan Stanley","521","450","Maintains","Overweight",""
"2022-02-28","Michael Maugeri","Wolfe Research","467","","Upgrades","Outperform","Peer Perform"
"2022-01-26","Kristine Liwag","Morgan Stanley","450","430","Maintains","Overweight",""
"2022-01-26","Charles Minervino","Susquehanna","445","400","Maintains","Positive",""
"2022-01-26","Myles Walton","UBS","425","410","Maintains","Buy",""
"2022-01-26","Matthew Akers","Wells Fargo","400","379","Maintains","Equal-Weight",""
"2022-01-10","Matthew Akers","Wells Fargo","379","340","Maintains","Equal-Weight",""
"2021-11-04","Kristine Liwag","Morgan Stanley","430","458","Maintains","Overweight",""
"2021-11-01","Ronald Epstein","B of A Securities","375","440","Downgrades","Neutral","Buy"
"2021-09-29","Cai Rumohr","Cowen & Co.","375","400","Downgrades","Market Perform","Outperform"
"2021-09-23","Noah Poponak","Goldman Sachs","402","","Downgrades","Neutral","Buy"
"2021-07-27","Robert Spingarn","Credit Suisse","398","394","Maintains","Neutral",""
"2021-07-27","Matthew Akers","Wells Fargo","385","384","Maintains","Equal-Weight",""
"2021-05-13","Matthew Akers","Wells Fargo","384","","Initiates Coverage On","Equal-Weight",""
"2021-04-21","Kristine Liwag","Morgan Stanley","458","445","Maintains","Overweight",""
"2021-02-08","Kristine Liwag","Morgan Stanley","445","480","Maintains","Overweight",""
"2021-01-07","Matthew Sharpe","Morgan Stanley","480","509","Maintains","Overweight",""
"2021-01-07","Peter Arment","Baird","368","","Downgrades","Neutral","Outperform"
"2020-09-08","Matthew Sharpe","Morgan Stanley","509","","Initiates Coverage On","Overweight",""
"2020-07-24","John Eade","Argus Research","450","425","Maintains","Buy",""
"2020-06-11","Myles Walton","UBS","475","482","Maintains","Buy",""
"2020-05-21","","RBC Capital","410","","Initiates Coverage On","Sector Perform",""
"2020-05-19","","Seaport Global","435","","Initiates Coverage On","Buy",""
"2020-04-28","","JP Morgan","395","350","Maintains","Neutral",""
"2020-04-22","Robert Spingarn","Credit Suisse","433","435","Maintains","Neutral",""
"2020-04-14","Matthew Sharpe","Morgan Stanley","407","385","Maintains","Equal-Weight",""
"2020-03-25","Robert Czerwensky","DZ Bank","360","","Upgrades","Buy","Hold"
"2020-03-24","Matthew Sharpe","Morgan Stanley","385","440","Maintains","Equal-Weight",""
"2020-02-07","Richard Safran","Buckingham Research","507","450","Maintains","Buy",""
"2020-01-30","Joseph DeNardi","Stifel","480","405","Maintains","Buy",""
"2020-01-30","Rajeev Lalwani","Morgan Stanley","440","406","Maintains","Equal-Weight",""
